"Eastern Date Hour","Gen Name","Gen PTID","DAM Gen LBMP","DAM Gen Losses","DAM Gen Congestion","DAM Gen Price Version"
"2021/01/01 00:00:00","59TH STREET_GT_1","24138","22.87","1.28","-9.05","1"
"2021/01/01 00:00:00","ADK_NYS___DAM","23527","25.52","1.05","-11.93","1"
"2021/01/01 00:00:00","AIR_PRODUCTS___DRP","24190","25","0.74","-11.72","1"
"2021/01/01 00:00:00","ALBANY___LFGE","323615","25.34","0.81","-11.99","1"
"2021/01/01 00:00:00","ALCOA_RYNLDS___DRP","24188","11.97","-0.56","0","1"
"2021/01/01 00:00:00","ATHENS_STG_1","23668","23.43","0.79","-10.11","1"
"2021/01/01 00:00:00","BEACON___LESR","323632","25.1","0.88","-11.68","1"
"2021/01/01 00:00:00","BETHLEHEM___STEEL","23779","13.99","-0.1","-1.56","1"
"2021/01/01 00:00:00","BINGHAMTON___COGEN","23790","15.76","0.26","-2.96","1"
"2021/01/01 00:00:00","BLUE_CIRC_CHEM_DRP","24182","24.75","0.73","-11.48","1"
"2021/01/01 00:00:00","BOC_GAS_DRP","24189","24.83","0.69","-11.6","1"
"2021/01/01 00:00:00","CE_MILLWOOD___DRP","24193","22.64","1.09","-9.01","1"
"2021/01/01 00:00:00","DUNKIRK___1","23563","14.34","0.2","-1.61","1"
"2021/01/01 00:00:00","EAST_HAMPTON___DIESEL","23722","43.63","2.17","-28.92","1"
"2021/01/01 00:00:00","FENNER___WINDPWR","24204","13.9","0.35","-1.01","1"
"2021/01/01 00:00:00","GILBOA___1","23756","22.09","0.64","-8.92","1"
"2021/01/01 00:00:00","GLOBAL GREEN_PORT_GT1","23814","43.62","2.16","-28.92","1"
"2021/01/01 00:00:00","GLOBE___DSASP","323697","13.2","-0.78","-1.44","1"
"2021/01/01 00:00:00","GOETHSLN___LBMP","323567","22.84","1.25","-9.05","1"
"2021/01/01 00:00:00","GOUDEY___7","23579","15.76","0.29","-2.94","1"
"2021/01/01 00:00:00","GREENIDGE___3","23582","14.56","0.21","-1.81","1"
"2021/01/01 00:00:00","HICKLING___1","23621","15.23","0.38","-2.31","1"
"2021/01/01 00:00:00","HUNTLEY___63","23557","13.67","-0.33","-1.46","1"
