"Generator Name","PTID","Subzone","Zone","Latitude","Longitude"
"59TH STREET_GT_1",24138,"CON ED NY CITY","N.Y.C.",40.76612,-73.99611
"74TH STREET_GT_1",24260,"CON ED NY CITY","N.Y.C.",40.763619,-73.943008
"74TH STREET_GT_2",24261,"CON ED NY CITY","N.Y.C.",40.763619,-73.943008
"ADK HUDSON___FALLS",24011,"NMPC CAPITAL","CAPITL",43.290067,-73.606067
"ADK RESOURCE___RCVRY",23798,"NMPC CAPITAL","CAPITL",43.306154,-73.591954
"ADK S GLENS___FALLS",24028,"NMPC CAPITAL","CAPITL",43.290067,-73.606067
"ADK_NYS___DAM",23527,"NMPC CAPITAL","CAPITL",42.912214,-73.357291
"AEP_ROLLING_HILL_CT1",186718,"PJM-AC","PJM",,
"AEP_ROLLING_HILL_CT2",186719,"PJM-AC","PJM",,
"AEP_ROLLING_HILL_CT3",186720,"PJM-AC","PJM",,
"AEP_ROLLING_HILL_CT4",186721,"PJM-AC","PJM",,
"AEP_ROLLING_HILL_CT5",186717,"PJM-AC","PJM",,
"AIR_PRODUCTS___DRP",24190,"NMPC CAPITAL","CAPITL",42.661491,-73.739644
"ALBANY___1",23571,"NMPC CAPITAL","CAPITL",42.661491,-73.739644
"ALBANY___2",23572,"NMPC CAPITAL","CAPITL",42.661491,-73.739644
"ALBANY___3",23573,"NMPC CAPITAL","CAPITL",42.661491,-73.739644
"ALBANY___4",23574,"NMPC CAPITAL","CAPITL",42.661491,-73.739644
"ALBANY___LFGE",323615,"NMPC CAPITAL","CAPITL",42.691041,-73.803149
"ALCOA___DSASP",323711,"NYPA NORTH","NORTH",44.954452,-74.893775
"ALCOA_RYNLDS___DRP",24188,"NYPA NORTH","NORTH",44.939156,-74.875032
"ALLEGHENY___COGEN",23514,"RG&E GENESEE","GENESE",42.391981,-78.155403
"ALTONA_WT_PWR",323606,"NYPA NORTH","NORTH",44.831624,-73.636424
"AMERICAN_REF_FUEL",24010,"NMPC WEST","WEST",43.09846,-79.007149
"AMO_HQ_IMPORTLIMIT",185671,"HQEX","H Q",,
"AMO_NPX_IMPORTLIMIT",185672,"NPX-AC","NPX",,
"AMO_OH_IMPORTLIMIT",185720,"OH-AC","O H",,
"AMO_PJM_IMPORTLIMIT",185673,"PJM-AC","PJM",,
"ARKWRIGHT___SUMMIT_WT_PWR",323751,"NMPC WEST","WEST",42.336631,-79.323597
"ARTHUR_KILL_2",23512,"CON ED NY CITY","N.Y.C.",40.589204,-74.197028
"ARTHUR_KILL_3",23513,"CON ED NY CITY","N.Y.C.",40.589204,-74.197028
"ARTHUR_KILL_COGEN",323718,"CON ED NY CITY","N.Y.C.",40.589204,-74.197028
"ARTHUR KILL_GT_1",23520,"CON ED NY CITY","N.Y.C.",40.589204,-74.197028
"ASHOKAN____",23654,"CENT HUD HUDSON VLY","HUD VL",42.031073,-74.106742
"ASTORIA_EAST_ENERGY_CC1",323581,"CON ED NY CITY","N.Y.C.",40.787176,-73.907032
"ASTORIA_EAST_ENERGY_CC2",323582,"CON ED NY CITY","N.Y.C.",40.787176,-73.907032
"ASTORIA_GT_1",23523,"CON ED NY CITY","N.Y.C.",40.787725,-73.909326
"ASTORIA_GT_10",24110,"CON ED NY CITY","N.Y.C.",40.787725,-73.908745
"ASTORIA_GT_11",24225,"CON ED NY CITY","N.Y.C.",40.787725,-73.908745
"ASTORIA_GT_12",24226,"CON ED NY CITY","N.Y.C.",40.787725,-73.908745
"ASTORIA_GT_13",24227,"CON ED NY CITY","N.Y.C.",40.787725,-73.908745
"ASTORIA_GT_5",24106,"CON ED NY CITY","N.Y.C.",40.787725,-73.909326
"ASTORIA_GT_7",24107,"CON ED NY CITY","N.Y.C.",40.787725,-73.909326
"ASTORIA_GT_8",24108,"CON ED NY CITY","N.Y.C.",40.787725,-73.909326
"ASTORIA_GT2_1",24094,"CON ED NY CITY","N.Y.C.",40.787725,-73.909326
"ASTORIA_GT2_2",24095,"CON ED NY CITY","N.Y.C.",40.787725,-73.909326
"ASTORIA_GT2_3",24096,"CON ED NY CITY","N.Y.C.",40.787725,-73.909326
"ASTORIA_GT2_4",24097,"CON ED NY CITY","N.Y.C.",40.787725,-73.909326
"ASTORIA_GT3_1",24098,"CON ED NY CITY","N.Y.C.",40.787725,-73.909326
"ASTORIA_GT3_2",24099,"CON ED NY CITY","N.Y.C.",40.787725,-73.909326
"ASTORIA_GT3_3",24100,"CON ED NY CITY","N.Y.C.",40.787725,-73.909326
"ASTORIA_GT3_4",24101,"CON ED NY CITY","N.Y.C.",40.787725,-73.909326
"ASTORIA_GT4_1",24102,"CON ED NY CITY","N.Y.C.",40.787725,-73.909326
"ASTORIA_GT4_2",24103,"CON ED NY CITY","N.Y.C.",40.787725,-73.909326
"ASTORIA_GT4_3",24104,"CON ED NY CITY","N.Y.C.",40.787725,-73.909326
"ASTORIA_GT4_4",24105,"CON ED NY CITY","N.Y.C.",40.787725,-73.909326
"ASTORIA___2",24149,"CON ED NY CITY","N.Y.C.",40.787174,-73.908745
"ASTORIA___3",23516,"CON ED NY CITY","N.Y.C.",40.787174,-73.908745
"ASTORIA___4",23517,"CON ED NY CITY","N.Y.C.",40.787174,-73.908745
"ASTORIA___5",23518,"CON ED NY CITY","N.Y.C.",40.787174,-73.908745
"AST_ENERGY_2_CC3",323677,"CON ED NY CITY","N.Y.C.",40.78719,-73.9071
"AST_ENERGY_2_CC4",323678,"CON ED NY CITY","N.Y.C.",40.78719,-73.9071
"ATHENS_STG_1",23668,"NMPC CAPITAL","CAPITL",42.271224,-73.850326
"ATHENS_STG_2",23670,"NMPC CAPITAL","CAPITL",42.271224,-73.850326
"ATHENS_STG_3",23677,"NMPC CAPITAL","CAPITL",42.271224,-73.850326
"AUBURN___LFGE",323710,"NYSEG CENTRAL","CENTRL",42.953704,-76.573474
"AZISCOHOS___HYDRO",185710,"NPX-AC","NPX",,
"BABYLON_RES_REC",323704,"LIPA LONG ISLAND","LONGIL",40.73589,-73.387823
"BARRETT_IC_1",23704,"LIPA LONG ISLAND","LONGIL",40.61822,-73.648205
"BARRETT_IC_10",23701,"LIPA LONG ISLAND","LONGIL",40.61822,-73.648205
"BARRETT_IC_11",23702,"LIPA LONG ISLAND","LONGIL",40.61822,-73.648205
"BARRETT_IC_12",23703,"LIPA LONG ISLAND","LONGIL",40.61822,-73.648205
"BARRETT_IC_2",23705,"LIPA LONG ISLAND","LONGIL",40.61822,-73.648205
"BARRETT_IC_3",23706,"LIPA LONG ISLAND","LONGIL",40.61822,-73.648205
"BARRETT_IC_4",23707,"LIPA LONG ISLAND","LONGIL",40.61822,-73.648205
"BARRETT_IC_5",23708,"LIPA LONG ISLAND","LONGIL",40.61822,-73.648205
"BARRETT_IC_6",23709,"LIPA LONG ISLAND","LONGIL",40.61822,-73.648205
"BARRETT_IC_7",23710,"LIPA LONG ISLAND","LONGIL",40.61822,-73.648205
"BARRETT_IC_8",23711,"LIPA LONG ISLAND","LONGIL",40.61822,-73.648205
"BARRETT_IC_9",23700,"LIPA LONG ISLAND","LONGIL",40.61822,-73.648205
"BARRETT___1",23545,"LIPA LONG ISLAND","LONGIL",40.61822,-73.648205
"BARRETT___2",23546,"LIPA LONG ISLAND","LONGIL",40.61822,-73.648205
"BAYONEEC___CTG1",323682,"CON ED NY CITY","N.Y.C.",40.652228,-74.090857
"BAYONEEC___CTG10",323750,"CON ED NY CITY","N.Y.C.",40.652228,-74.090857
"BAYONEEC___CTG2",323683,"CON ED NY CITY","N.Y.C.",40.652228,-74.090857
"BAYONEEC___CTG3",323684,"CON ED NY CITY","N.Y.C.",40.652228,-74.090857
"BAYONEEC___CTG4",323685,"CON ED NY CITY","N.Y.C.",40.652228,-74.090857
"BAYONEEC___CTG5",323686,"CON ED NY CITY","N.Y.C.",40.652228,-74.090857
"BAYONEEC___CTG6",323687,"CON ED NY CITY","N.Y.C.",40.652228,-74.090857
"BAYONEEC___CTG7",323688,"CON ED NY CITY","N.Y.C.",40.652228,-74.090857
"BAYONEEC___CTG8",323689,"CON ED NY CITY","N.Y.C.",40.652228,-74.090857
"BAYONEEC___CTG9",323749,"CON ED NY CITY","N.Y.C.",40.652228,-74.090857
"BAYONNE___COGEN TECH 1",185665,"PJM-AC","PJM",,
"BAYONNE___COGEN TECH 2",185667,"PJM-AC","PJM",,
"BAYONNE___COGEN TECH 3",185669,"PJM-AC","PJM",,
"BAYONNE___COGEN TECH 4",185670,"PJM-AC","PJM",,
"BEACON___LESR",323632,"NYSEG CAPITAL","CAPITL",42.557244,-73.376326
"BEAR_SWAMP_1_LIPA_OCC",185727,"NPX-AC","NPX",,
"BEAR_SWAMP___1",359,"NPX-AC","NPX",,
"BEAR_SWAMP___2",360,"NPX-AC","NPX",,
"BEAVER RIVER___HYD",24048,"NMPC MOHAWK VLY","MHK VL",43.927109,-75.320825
"BECK2-LT___AG1112",185712,"OH-AC","O H",,
"BECK2-LT___AG1314",185713,"OH-AC","O H",,
"BECK2-LT___AG1718",185719,"OH-AC","O H",,
"BEEBEE_GT_13",23619,"RG&E GENESEE","GENESE",43.151142,-77.660615
"BERLIN___1",10424,"NPX-AC","NPX",,
