datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,49112,JUNIATA,230 KV,TRAN_3,LOAD,PPL,35.63,34.270000,-0.280000,-1.080000,True,1
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,50558,PEACHBOT,22 KV,UNIT03,GEN,PECO,35.63,35.270000,0.100000,-0.460000,True,1
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,50567,SCOTTPAP,13 KV,SCOTCO,GEN,PECO,35.63,36.320000,0.160000,0.530000,True,1
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,50780,HOMERCIT,230 KV,PIERCE N,GEN,PENELEC,35.63,36.390000,1.830000,-1.070000,True,1
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,5021476,PORTERFI,138 KV,T1,LOAD,AEP,35.63,34.510000,-0.090000,-1.030000,True,1
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,5021679,LACKAWAN,69 KV,KEYSTONE,GEN,PPL,35.63,31.260000,-3.310000,-1.060000,True,1
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,32410793,CANALAEP,138 KV,T1,LOAD,AEP,35.63,35.580000,-0.010000,-0.040000,True,1
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,53049049,216 MOUN,138 KV,MAINELF,GEN,COMED,35.63,34.980000,0.140000,-0.790000,True,1
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,71856721,SHERMAN,13.8 KV,CT 1,GEN,AECO,35.63,36.870000,0.170000,1.070000,True,1
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,93353803,KEITH,138 KV,TR71,LOAD,ATSI,35.63,35.780000,-0.160000,0.310000,True,1
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,93353805,KEITH,138 KV,TR72,LOAD,ATSI,35.63,35.760000,-0.170000,0.300000,True,1
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,1067169374,STCLAIR2,138 KV,SVC,GEN,AEP,35.63,35.510000,-0.010000,-0.110000,True,1
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,1305122390,CHATHAM4,69 KV,SHEVADP,LOAD,DOM,35.63,36.630000,0.140000,0.860000,True,1
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,1552845544,KYGERCRE,15.5 KV,KY3,GEN,OVEC,35.63,33.610000,-0.020000,-2.000000,True,1
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,1869183648,MORTNSLT,69 KV,T1,LOAD,ATSI,35.63,35.760000,-0.180000,0.310000,True,1
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,2155501856,KEENEY,138 KV,T2_LD,LOAD,DPL,35.63,36.160000,0.140000,0.390000,True,1
7/1/2021 4:00:00 AM,7/1/2021 12:00:00 AM,2156111809,MONROEAP,69 KV,T1,LOAD,AEP,35.63,36.220000,0.140000,0.450000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,49112,JUNIATA,230 KV,TRAN_3,LOAD,PPL,30.33,29.320000,-0.240000,-0.770000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,50558,PEACHBOT,22 KV,UNIT03,GEN,PECO,30.33,30.210000,0.100000,-0.220000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,50567,SCOTTPAP,13 KV,SCOTCO,GEN,PECO,30.33,31.140000,0.240000,0.570000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,50780,HOMERCIT,230 KV,PIERCE N,GEN,PENELEC,30.33,30.910000,1.370000,-0.790000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,5021476,PORTERFI,138 KV,T1,LOAD,AEP,30.33,29.300000,-0.100000,-0.930000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,5021679,LACKAWAN,69 KV,KEYSTONE,GEN,PPL,30.33,27.360000,-2.270000,-0.700000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,32410793,CANALAEP,138 KV,T1,LOAD,AEP,30.33,30.050000,-0.040000,-0.240000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,53049049,216 MOUN,138 KV,MAINELF,GEN,COMED,30.33,29.410000,0.060000,-0.980000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,71856721,SHERMAN,13.8 KV,CT 1,GEN,AECO,30.33,31.600000,0.250000,1.020000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,93353803,KEITH,138 KV,TR71,LOAD,ATSI,30.33,30.440000,-0.180000,0.290000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,93353805,KEITH,138 KV,TR72,LOAD,ATSI,30.33,30.420000,-0.180000,0.270000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,1067169374,STCLAIR2,138 KV,SVC,GEN,AEP,30.33,30.000000,-0.040000,-0.290000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,1305122390,CHATHAM4,69 KV,SHEVADP,LOAD,DOM,30.33,31.090000,0.090000,0.670000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,1552845544,KYGERCRE,15.5 KV,KY3,GEN,OVEC,30.33,28.460000,-0.050000,-1.820000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,1869183648,MORTNSLT,69 KV,T1,LOAD,ATSI,30.33,30.420000,-0.180000,0.270000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,2155501856,KEENEY,138 KV,T2_LD,LOAD,DPL,30.33,31.000000,0.210000,0.460000,True,1
7/1/2021 5:00:00 AM,7/1/2021 1:00:00 AM,2156111809,MONROEAP,69 KV,T1,LOAD,AEP,30.33,30.720000,0.090000,0.300000,True,1
7/1/2021 6:00:00 AM,7/1/2021 2:00:00 AM,49112,JUNIATA,230 KV,TRAN_3,LOAD,PPL,27.36,26.700000,0.050000,-0.710000,True,1
7/1/2021 6:00:00 AM,7/1/2021 2:00:00 AM,50558,PEACHBOT,22 KV,UNIT03,GEN,PECO,27.36,27.190000,0.030000,-0.200000,True,1
7/1/2021 6:00:00 AM,7/1/2021 2:00:00 AM,50567,SCOTTPAP,13 KV,SCOTCO,GEN,PECO,27.36,27.870000,0.040000,0.470000,True,1
7/1/2021 6:00:00 AM,7/1/2021 2:00:00 AM,50780,HOMERCIT,230 KV,PIERCE N,GEN,PENELEC,27.36,26.890000,0.190000,-0.660000,True,1
7/1/2021 6:00:00 AM,7/1/2021 2:00:00 AM,5021476,PORTERFI,138 KV,T1,LOAD,AEP,27.36,26.520000,-0.030000,-0.810000,True,1
7/1/2021 6:00:00 AM,7/1/2021 2:00:00 AM,5021679,LACKAWAN,69 KV,KEYSTONE,GEN,PPL,27.36,26.720000,0.040000,-0.680000,True,1
7/1/2021 6:00:00 AM,7/1/2021 2:00:00 AM,32410793,CANALAEP,138 KV,T1,LOAD,AEP,27.36,27.120000,-0.030000,-0.210000,True,1
7/1/2021 6:00:00 AM,7/1/2021 2:00:00 AM,53049049,216 MOUN,138 KV,MAINELF,GEN,COMED,27.36,26.490000,-0.030000,-0.840000,True,1
7/1/2021 6:00:00 AM,7/1/2021 2:00:00 AM,71856721,SHERMAN,13.8 KV,CT 1,GEN,AECO,27.36,28.250000,0.040000,0.850000,True,1
7/1/2021 6:00:00 AM,7/1/2021 2:00:00 AM,93353803,KEITH,138 KV,TR71,LOAD,ATSI,27.36,27.590000,-0.060000,0.290000,True,1
7/1/2021 6:00:00 AM,7/1/2021 2:00:00 AM,93353805,KEITH,138 KV,TR72,LOAD,ATSI,27.36,27.570000,-0.060000,0.270000,True,1
7/1/2021 6:00:00 AM,7/1/2021 2:00:00 AM,1067169374,STCLAIR2,138 KV,SVC,GEN,AEP,27.36,27.080000,-0.030000,-0.250000,True,1
7/1/2021 6:00:00 AM,7/1/2021 2:00:00 AM,1305122390,CHATHAM4,69 KV,SHEVADP,LOAD,DOM,27.36,27.680000,0.000000,0.320000,True,1
7/1/2021 6:00:00 AM,7/1/2021 2:00:00 AM,1552845544,KYGERCRE,15.5 KV,KY3,GEN,OVEC,27.36,25.720000,-0.030000,-1.610000,True,1
7/1/2021 6:00:00 AM,7/1/2021 2:00:00 AM,1869183648,MORTNSLT,69 KV,T1,LOAD,ATSI,27.36,27.580000,-0.050000,0.270000,True,1
7/1/2021 6:00:00 AM,7/1/2021 2:00:00 AM,2155501856,KEENEY,138 KV,T2_LD,LOAD,DPL,27.36,27.800000,0.030000,0.410000,True,1
